,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
1932,2/11/10,QuinStreet ,QNST,Credit Suisse/BofA Merrill Lynch/J.P. Morgan,15.0,15.1,15.0,0.0
1951,4/22/10,Codexis ,CDXS,Credit Suisse/Goldman Sachs,13.0,13.0,13.26,0.019999999999999983
1953,4/22/10,Alimera Sciences ,ALIM,Credit Suisse/Citi,11.0,11.0,11.0,0.0
1954,4/22/10,Global Geophysical Services ,GGS,Credit Suisse/Barclays Capital,12.26,12.0,12.0,-0.021207177814029348
1962,5/5/10,Charm Communications ,CHRM,Credit Suisse,9.5,9.51,9.4,-0.010526315789473648
1963,5/5/10,Douglas Dynamics ,PLOW,Credit Suisse/ Oppenheimer,11.25,22.26,11.29,0.00355555555555548
1968,5/14/10,JinkoSolar Holding ,JKS,Credit Suisse,11.0,11.0,11.01,0.0009090909090908897
1972,5/20/10,Accretive Health ,AH,Goldman Sachs/Credit Suisse,12.0,12.0,12.74,0.06166666666666668
1997,8/3/10,Trius Therapeutics ,TSRX,Credit Suisse/Piper Jaffray,5.0,5.1,5.0,0.0
2013,9/28/10,Country Style Cooking Restaurant Chain ,CCSC,BofA Merrill Lynch/ Credit Suisse,16.5,25.0,24.3,0.4727272727272728
2016,10/1/10,China Ming Yang Wind Power Group ,MY,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,14.0,14.15,13.25,-0.05357142857142857
2029,10/20/10,TAL Education Group ,XRS,Credit Suisse/ Morgan Stanley,10.0,14.0,15.0,0.5
2033,10/26/10,Mecox Lane Limited ,MCOX,Credit Suisse/ UBS Investment Bank,11.0,17.5,17.26,0.5690909090909092
2035,10/28/10,ExamWorks Group ,EXAM,"Goldman, Sachs & Co./ Credit Suisse",16.0,16.75,16.8,0.050000000000000044
2045,11/10/10,RDA Microelectronics ,RDA,Morgan Stanley/ Credit Suisse,9.0,10.11,10.75,0.19444444444444445
2049,11/17/10,Booz Allen & Hamilton ,BAH,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch Credit Suisse,17.0,17.26,19.25,0.1323529411764706
2052,11/19/10,Aeroflex Holdings ,ARX,"Goldman, Sachs/ Credit Suisse/ J.P. Morgan/ Morgan Stanley",13.5,12.67,12.67,-0.061481481481481484
2062,12/8/10,E-Commerce China Dangdang ,DANG,Credit Suisse/ Morgan Stanley,16.0,24.5,29.91,0.869375
2074,12/15/10,Walker & Dunlop ,WD,"Credit Suisse/ Keefe, Bruyette & Woods/ Morgan Stanley",10.0,9.9,9.9,-0.009999999999999964
2082,4/14/09,Bridgepoint Education ,BPI,Credit Suisse/JPMorgan,10.5,10.5,11.1,0.057142857142857106
2089,6/24/09,Chemspec International ,CPC,Credit Suisse/Citi,9.0,9.45,9.0,0.0
2091,6/25/09,Medidata Solutions ,MDSO,Citi/Credit Suisse,14.0,18.0,17.0,0.21428571428571427
2092,6/26/09,Invesco Mortgage Capital,IVR,Credit Suisse/Morgan Stanley,20.0,19.8,19.42,-0.028999999999999915
2110,10/2/09,Education Management Corporation ,EDMC,Goldman Sachs/J.P. Morgan/BofA Merrill Lynch/Barclays Capital/Credit Suisse/Morgan Stanley,18.0,20.25,21.77,0.20944444444444443
2111,10/7/09,Banco Santander ,BSBR,Santander/ Credit Suisse/ BofA Merrill Lynch/ UBS Investment Bank,13.4,13.3,13.01,-0.02910447761194034
2113,10/8/09,Mistras Group ,MG,J.P. Morghan/Credit Suisse.BofA Merrill Lynch,12.5,12.3,12.53,0.002399999999999949
2116,10/16/09,China Real Estate Information ,CRIC,Credit Suisse/UBS Investment Bank,12.0,12.28,14.2,0.18333333333333326
2125,11/6/09,STR Holdings ,STRI,Credit Suisse/Goldman Sachs,10.0,10.0,13.1,0.30999999999999994
2130,11/20/09,Cloud Peak Energy ,CLD,Credit Suisse/Morgan Stanley/RBC Capital Markets,15.0,14.5,14.84,-0.010666666666666677
2137,12/11/09,KAR Holdings ,KAR,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan,12.0,11.0,12.03,0.0024999999999999467
2140,12/17/09,Kraton Performance Polymers ,KRA,Credit Suisse,13.5,13.5,13.51,0.000740740740740725
2147,1/24/08,RiskMetrics Group ,RMG,Credit Suisse/Goldman Sachs/Banc of America,17.5,21.0,23.75,0.35714285714285715
2148,1/24/08,IPC The Hospitalist Company ,IPCM,Credit Suisse/Jefferies,16.0,20.15,20.48,0.28
2174,5/14/08,Verso Paper ,VRS,Credit Suisse/ Citi,12.0,10.0,10.0,-0.16666666666666666
2181,7/23/08,GT Solar International ,SOLR,Credit Suisse/UBS Investment Bank,16.5,16.5,14.59,-0.11575757575757577
2185,8/7/08,Rackspace Hosting ,RAX,"Goldman, Sachs/ Credit Suisse/ Merrill Lynch",12.5,10.0,10.01,-0.19920000000000002
2187,11/19/08,Grand Canyon Education ,LOPE,Credit Suisse/Merrill Lynch,12.0,10.0,11.85,-0.01250000000000003
2213,2/14/07,Quadra Realty Trust ,QRR,Credit Suisse/Wachovia,15.0,15.0,15.25,0.016666666666666666
2222,3/20/07,"Cheniere Energy Partners, L.P. ",CQP,Citigroup/Merrill Lynch/Credit Suisse,21.0,22.0,21.71,0.03380952380952385
2232,4/4/07,Veraz Networks ,VRAZ,Credit Suisse/Lehman Brothers,8.0,8.0,7.8,-0.025000000000000022
2242,4/23/07,Cinemark Holdings ,CNK,Lehman Brothers/Credit Suisse/Merrill Lynch/Morgan Stanley,19.0,19.0,18.91,-0.00473684210526315
2259,5/14/07,Skilled Health Group ,SKH,Credit Suisse,15.5,16.0,15.9,0.02580645161290325
2268,5/17/07,EnerNOC ,ENOC,Credit Suisse/Morgan Stanley,26.0,30.76,31.13,0.19730769230769227
2270,5/22/07,B&G Foods ,BGS,Credit Suisse/Lehman Brothers,13.0,13.5,13.26,0.019999999999999983
2294,6/21/07,Care Investment Trust ,CRE,Credit Suisse/Merrill Lynch,15.0,13.0,13.5,-0.1
2300,6/26/07,comScore ,SCOR,Credit Suisse/Deutsche Bank,16.5,22.0,23.47,0.42242424242424237
2309,7/17/07,Dice Holdings ,DHX,Credit Suisse/Morgan Stanley,13.0,14.5,13.4,0.030769230769230795
2313,7/18/07,Netezza ,NZ,Credit Suisse/Morgan Stanley,12.0,15.0,17.39,0.4491666666666667
2318,7/19/07,hhgregg ,HGG,Credit Suisse/Lehman Brothers,13.0,13.72,14.55,0.11923076923076928
2325,7/25/07,Perfect World ,PWRD,Morgan Stanley/Credit Suisse,16.0,17.5,20.4,0.2749999999999999
2334,8/7/07,HireRight ,HIRE,Credit Suisse,15.0,15.1,14.73,-0.01799999999999997
2335,8/7/07,E-House (China) Holdings ,EJ,Credit Suisse/Merrill Lynch,13.8,18.12,19.43,0.4079710144927535
2337,8/8/07,DemandTec ,DMAN,Morgan Stanley/Credit Suisse,11.0,10.05,9.45,-0.14090909090909098
2347,9/26/07,Babcock & Brown Air Limited ,FLY,Morgan Stanley/Citi/Merrill Lynch/Credit Suisse,23.0,23.0,22.73,-0.01173913043478259
2355,10/4/07,"China Digital TV Holding Cp., Ltd. ",STV,Morgan Stanley/Credit Suisse,16.0,35.0,28.0,0.75
2356,10/9/07,Targanta Therapeutics ,TARG,Credit Suisse,10.0,10.0,9.4,-0.05999999999999996
2357,10/9/07,Textainer Group Holdings Limited ,TGH,Credit Suisse/Wachovia,16.5,16.65,17.0,0.030303030303030304
2383,11/1/07,Deltek ,PROJ,Credit Suisse,18.0,18.0,17.95,-0.0027777777777778173
2385,11/1/07,Nanosphere ,NSHP,Credit Suisse,14.0,14.0,16.0,0.14285714285714285
2388,11/6/07,Agria ,GRO,Credit Suisse,16.5,16.5,12.06,-0.26909090909090905
2412,11/15/07,Chimera Investment ,CIM,Merrill Lynch/Credit Suisse/Deutsche Bank,15.0,15.0,14.9,-0.006666666666666643
2413,11/15/07,3PAR ,PAR,Goldman Sachs/Credit Suisse,14.0,16.5,15.75,0.125
2423,12/5/07,VisionChina Media ,VISN,Credit Suisse/ Merrrill Lynch,8.0,8.0,8.0,0.0
2425,12/6/07,Entropic Communications ,ENTR,Credit Suisse/Lehman Brothers,6.0,7.01,7.4,0.2333333333333334
2429,12/6/07,Triple-S Management  ,GTS,Credit Suisse/UBS Investment Bank,14.5,14.8,15.15,0.04482758620689658
2436,12/12/07,K12 ,LRN,Morgan Stanley/Credit Suisse,18.0,19.75,24.55,0.36388888888888893
2443,12/19/07,NetSuite ,N,Credit Suisse,26.0,26.0,35.5,0.36538461538461536
2455,1/30/06,H&E Equipment Services ,HEES,Credit Suisse/UBS Investment Bank,18.0,20.31,23.1,0.28333333333333344
2457,1/31/06,Koppers Holdings ,KOP,Credit Suisse/UBS Investment Bank,14.0,14.6,15.75,0.125
2465,2/2/06,Energy Transfer Equity L.P. ,ETE,UBS Investment Bank/Wachovia/ Credit Suisse,21.0,23.0,22.65,0.0785714285714285
2468,2/6/06,Resource Capital ,RSO,Credit Suisse First Boston/Friedman Billings Ramsey/Citigroup/JP Morgan,15.0,14.5,14.0,-0.06666666666666667
2480,2/23/06,Pacific Airport Group ,PAC,Credit Suisse,21.0,30.0,28.26,0.3457142857142858
2488,3/14/06,TransDigm Group ,TDG,Credit Suisse/Lehman Brothers,21.0,23.65,24.1,0.14761904761904768
2514,4/20/06,Complete Production Services ,CPX,Credit Suisse /UBS Investment Bank,24.0,27.45,26.9,0.12083333333333328
2521,5/3/06,DynCorp International ,DCP,Credit Suisse/Goldman Sachs,15.0,15.0,14.94,-0.004000000000000033
2532,5/18/06,Darwin Professional Underwriters ,DR,Merrill Lynch/Credit Suisse,16.0,17.1,18.73,0.17062500000000003
2542,6/6/06,LoopNet ,LOOP,Credit Suisse,12.0,14.75,15.0,0.25
2543,6/12/06,Verigy Ltd. ,VRGY,Goldman Sachs/Credit Suisse,15.0,15.05,14.25,-0.05
2558,7/12/06,Cowen Group ,COWN,Cowen/Credit Suisse/Merrill Lynch,16.0,16.0,15.88,-0.007499999999999951
2582,9/21/06,CommVault Systems ,CVLT,Credit Suisse/Goldman Sachs,14.5,16.0,17.0,0.1724137931034483
2586,9/27/06,CBRE Realty Finance ,CBF,Credit Suisse/Deutsche Bank/Citibank/Wachovia,14.5,14.5,15.0,0.034482758620689655
2595,10/12/06,Acme Packet ,APKT,Goldman Sachs/Credit Suisse,9.5,14.0,15.91,0.6747368421052632
2613,10/25/06,Home Inns & Hotel Management ,HMIN,Credit Suisse/Merrill Lynch,13.8,22.0,22.5,0.6304347826086956
2614,10/26/06,Optium ,OPTM,Morgan Stanley/Credit Suisse,17.5,21.25,19.6,0.12000000000000008
2618,11/2/06,Innophos Holdings ,IPHS,Credit Suisse/Bear Stearns,12.0,12.0,12.07,0.005833333333333357
2627,11/9/06,Capella Education ,CPLA,Credit Suisse ,20.0,25.0,25.11,0.25549999999999995
2634,11/15/06,KBR ,KBR,Credit Suisse/Goldman Sachs/UBS Investment Bank,17.0,21.0,20.75,0.22058823529411764
2636,11/16/06,First Solar ,FSLR,Credit Suisse/Morgan Stanley,20.0,24.5,24.74,0.23699999999999993
2640,11/20/06,Spirit AeroSystems Holdings ,SPR,Credit Suisse/Goldman Sachs/Morgan Stanley,26.0,27.55,27.48,0.05692307692307694
2641,11/21/06,North American Energy Partners ,NOA,Credit Suisse/UBS Investment Bank/Jefferies,16.0,15.5,16.1,0.006250000000000089
2671,12/18/06,Melco PBL Entertainment (Macau) Ltd ,MPEL,Credit Suisse/Citigroup/UBS Investment Trust,19.0,22.0,21.55,0.1342105263157895
2683,1/20/05,ViaCell ,VIAC,Credit Suisse First Boston/UBS Investment Bank,7.0,11.0,8.69,0.24142857142857135
2697,2/7/05,GRAVITY Co. Ltd .,GRVY,Credit Suisse First Boston,13.5,13.76,12.59,-0.06740740740740742
2710,2/15/05,Wright Express,WXS,JP Morgan/Credit Suisse First Boston/Merril Lynch,18.0,17.5,17.7,-0.016666666666666705
2721,3/31/05,Fastclick ,FSTC,Credit Suisse First Boston/Citigroup,12.0,14.99,12.0,0.0
2726,4/14/05,Earle M. Jorgensen ,JOR,Credit Suisse First Boston/Goldman Sachs,10.0,9.0,9.0,-0.1
2747,6/3/05,Aries Maritime Transportation  ,RAMS,Jefferies/Credit Suisse First Boston,12.5,12.54,12.97,0.03760000000000005
2763,6/28/05,Deerfield Triarc Capital ,DFR,Credit Suisse First Boston/Merrill Lynch/UBS Investment Bank/Deutsche Bank,16.0,16.0,16.0,0.0
2774,7/12/05,Focus Media Holding Limited ,FMCN,Goldman Sachs/Credit Suisse First Boston,17.0,18.75,20.2,0.18823529411764703
2785,7/21/05,Consolidated Communications Illinois ,CNSL,Credit Suisse First Boston,13.0,13.0,13.79,0.0607692307692307
2788,7/21/05,Maidenform Brands ,MFB,UBS Investment Bank/Credit Suisse First Boston,17.0,20.5,19.85,0.16764705882352948
2789,7/25/05,ITC Holdings ,ITC,Lehman Brothers/Credit Suisse First Boston/Morgan Stanley,23.0,27.0,26.4,0.1478260869565217
2791,7/27/05,Alon USA Energy ,ALJ,Credit Suisse First Boston/Deutsche Bank,16.0,18.0,17.25,0.078125
2818,8/9/05,Reddy Ice Holdings ,FRZ,Bear Stearns/Lehman Brothers/Credit Suisse First Boston,18.5,19.6,19.31,0.04378378378378371
2821,8/10/05,Refco ,RFX,Credit Suisse First Boston/Goldman Sachs/Banc of America,22.0,26.25,27.48,0.2490909090909091
2824,8/16/05,Rockwood Holdings ,ROC,Goldman Sachs/Credit Suisse First Boston,20.0,19.72,20.0,0.0
2839,9/27/05,TRX ,TRXI,Credit Suisse First Boston,9.0,9.0,9.06,0.006666666666666722
2850,10/11/05,TAL International ,TAL,Credit Suisse First Boston/Deutsche Bank/Jefferies,18.0,18.0,18.0,0.0
