,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
2002,8/6/10,NXP Semiconductors NV ,NXPI,Credit Suisse/Goldman Sachs/Morgan Stanley,14.0,11.0,11.03,-0.2121428571428572
2006,8/12/10,RealPage ,RP,Credit Suisse/ Deutsche Bank Securities,11.0,13.0,14.52,0.31999999999999995
2059,12/2/10,FXCM ,FXCM,Credit Suisse/ J.P. Morgan/ Citi,14.0,15.0,14.85,0.060714285714285686
2094,7/30/09,PennyMac Investment Trust ,PMT,Merrill Lynch/ Credit Suisse/ Deutsche Bank Securities,20.0,19.0,19.1,-0.04499999999999993
2138,12/16/09,Cobalt International Energy ,CIE,Credit Suisse/Goldman Sachs/J.P. Morgan,13.5,13.25,13.5,0.0
2151,1/28/08,Cascal B.V.,HOO,JPMorgan/Credit Suisse,12.0,12.0,12.0,0.0
2172,5/8/08,Western Gas Partners LP ,WES,UBS Investment Bank/Citi/Credit Suisse/Morgan Stanley,16.5,16.5,16.5,0.0
2204,2/7/07,Mellanox Technologies ,MLNX,Credit Suisse/JPMorgan,17.0,20.0,20.0,0.17647058823529413
2205,2/7/07,National CineMedia ,NCMI,Credit Suisse/JPMorgan/Lehman Brothers/Morgan Stanley,21.0,25.5,25.67,0.22238095238095246
2338,8/8/07,WuXi Pharma Tech (China) ,WX,Credit Suisse/JPMorgan,14.0,18.5,19.6,0.4000000000000001
2407,11/14/07,EnergySolutions ,ES,Credit Suisse/JPMorgan/Morgan Stanley,23.0,23.0,23.01,0.0004347826086957201
2530,5/16/06,Penson Worldwide ,PNSN,JPMorgan/Credit Suisse First Boston,17.0,19.13,19.5,0.14705882352941177
2571,8/8/06,Qimonda AG ,QI,Credit Suisse/JPMorgan,13.0,13.5,13.54,0.041538461538461476
2625,11/9/06,ACA Capital Holdings ,ACA,Credit Suisse/JPMorgan/Bear Stearns,13.0,13.0,12.85,-0.011538461538461565
2635,11/16/06,Venoco ,VQ,Credit Suisse/Lehman Brothers/JPMorgan,17.0,17.0,17.0,0.0
3083,10/25/04,Shopping.com ,SHOP,Goldman Sachs/Credit Suisse First Boston,18.0,22.95,28.8,0.6000000000000001
