,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
1117,1/17/14,EP Energy  ,EPE,Credit Suisse/ J.P. Morgan/ Citigroup/ Goldman Sachs/ Morgan Stanley/ Deutsche Bank Securities/ UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets/ Wells Fargo Securities,20.0,19.9,18.08,-0.09600000000000009
1133,2/5/14,Continental Building Products ,CBPX,Citigroup/ Credit Suisse/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,14.0,14.66,15.19,0.08499999999999996
1172,3/26/14,King Digital Entertainment plc   (KING),KING,J.P. Morgan/ Credit Suisse/ BofA Merrill Lynch/ Barclays/ Deutsche Bank/ RBC Capital Markets,22.5,20.5,19.0,-0.15555555555555556
1173,3/26/14,Nord Anglia Education ,NORD,Credit Suisse/ Goldman Sachs/ J.P. Morgan,16.0,17.5,18.0,0.125
1208,4/17/14,Sportsmans Warehouse Holdings  ,SPWH,Credit Suisse/ Goldman Sachs,9.5,9.5,9.75,0.02631578947368421
1249,6/19/14,Markit Ltd.  ,MRKT,BofA Merrill Lynch/ Barclays/ Citigroup/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ HSBC/ J.P. Morgan/ Morgan Stanley/ UBS Investment Bank,24.0,26.15,26.7,0.11249999999999998
1260,6/26/14,ServiceMaster Global Holdings ,SERV,J.P. Morgan/ Credit Suisse/ Goldman Sachs/ Morgan Stanley,17.0,17.45,17.95,0.05588235294117643
1295,7/31/14,Macrocure ,MCUR,Credit Suisse/ Jefferies,10.0,9.0,7.25,-0.275
1320,9/19/14,Alibaba Group Holding  ,BABA,Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Citi,68.0,92.7,93.89,0.38073529411764706
1323,9/24/14,Medley Management  ,MDLY,Goldman Sachs/ Credit Suisse,18.0,16.99,16.4,-0.08888888888888896
1324,9/24/14,Smart & Final Stores ,SFS,Credit Suisse/ Morgan Stanley/ Deutsche Bank Securities,12.0,13.1,12.01,0.0008333333333333156
1327,9/25/14,Travelport Worldwide LTD ,TVPT,Morgan Stanley/ UBS Securities/ Credit Suisse/ Deutsche Bank Securities,16.0,17.69,16.4,0.02499999999999991
1330,10/1/14,Vivint Solar  ,VSLR,Goldman Sachs/ BofA Merrill Lynch/ Credit Suisse,16.0,17.38,16.01,0.0006250000000000977
1333,10/2/14,Atento S.A.   ,ATTO,Morgan Stanley/ Credit Suisse/ Itaú BBA,15.0,13.75,12.96,-0.13599999999999995
1340,10/3/14,Yodlee  ,YDLE,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch,12.0,18.81,13.44,0.11999999999999995
1344,10/9/14,OM Asset Management Ltd ,OMAM,BofA Merrill Lynch/ Morgan Stanley/ Citigroup/ Credit Suisse,14.0,14.0,13.95,-0.003571428571428622
1345,10/9/14,USD Partners LP  ,USDP,Citigroup/ Barclays/ Credit Suisse/ BofA Merrill Lynch,17.0,15.8,16.0,-0.058823529411764705
1348,10/10/14,Diplomat Pharmacy  ,DPLO,Credit Suisse/ Morgan Stanley/ J.P. Morgan/ Wells Fargo Securities/ William Blair/ Leerink Partners,13.0,16.0,16.02,0.23230769230769227
1359,10/30/14,Fifth Street Asset Management  ,FSAM,Morgan Stanley/ J.P. Morgan/ Goldman Sachs/ RBC Capital Markets/ Credit Suisse/ SMBC Nikko,17.0,16.0,13.37,-0.21352941176470594
